Produto,Laboratorio
CORTIFAR,ELOFAR
CORTISTON,BLAU FARMACEUTICA
COSMOGARD,COSMODERMA
COSOVIT,MUNDIPHARMA
COVIDA,GROSS
CPHD AC,SALBEGO
CPHD AC 45,SALBEGO
CRANBEROLA,KRESS IND FARMOQ
CRANBERRY,HF SUPLEMENTS
CRANBERRY,PROMEL IND C P NAT
CRAVOSAN,UNIAO QUIMICA F N
CREME PROTETOR,KENVUE
CRESCE X4,NUTRILIBRIUM
CRISINA,SUNFOOD
CROMO,VITA BLUE
CROMO,VITAL NATUS
CROMO CR,UNILIFE
CROMO+CARTAMO+COCO,YEN NUTRACEUTICA
CROMOFIT,CROMO FLORAIS
CRYSTALVISC,MANTECORP FARMASA
CRYSTALYS,ALLERGAN
CU-ZN,CRISTALIA
CUORE,MERCK
CURAPROX GENG TEET,CURADEN SWISS
CURATEX AGE DERM,LM FARMA
CURCUMA,EMANA
CURCUMA,GLOBAL SUPLEMENTOS
CURCUMA,IMPERIUM NUTRITION
CURCUMA,MELCOPROL
CURCUMA,NATUFORME
CURCUMA,POWER GREEN
CURCUMA,UNILIFE
CURCUMA + GENGIBRE,POWER GREEN
CURCUMA LONGA L,PREVENT PHARMA
CYPCINO,CIFARMA
CYRTOPOD PUNCT D1,ALMEIDA PRADO
CYSTADANE,RECORDATI RARE DIS
CYSTISTAT,EMS PHARMA
CYTRANA,MULTILAB
D MILL,PREVENT PHARMA
D-PIGMENT,AVENE
D+NUTRY,NUTRY4YOU
D+Z,GROSS
D3 2000,ONE PHARMA SUPPLEM
D3 VITA,BETTERLIFEBR
D3 VITAMIN,BLACK SKULL NUTRIT
DAILUS,DAILUS
DAILY ONE,ONE PHARMA SUPPLEM
DAILY ONE FORMULA,CLONE PHARMA
DAILY SPORT,ONE PHARMA SUPPLEM
DAKLINZA,BRISTOL M. SQUIBB
DAPAMIX,EUROFARMA
DAUNOBLASTINA,PFIZER
DAX PREVENT,I.Q.B.
DAYLONG,GALDERMA
DEBRIDAT,ENILA
DECI,SUN PHARMA
DECITABINA MG,DR. REDDYS
DECITABINA MG,SUN PHARMA
DEEP CLEANING,DEEP CLEANING
DEEP CLEANSE,DUX NUTRITION LAB
DEFLANIL,LIBBS
DEFLAREN,SANVAL
DEFORCE CAPS,ZYDUS BRASIL
DEKSEL,BIOBALANCE NATURAL
DELIMA,DELIMA
DELTA IFAL,IFAL
DELUMI,GEOLAB
DEMONDRENE E.E. 25,DEMONS LAB
DENOREX,COTY
DEPIMIEL,DEPIMIEL DO BRASIL
DEPUVIT,NATUBIO
DERCOS AMINE.PRO F,VICHY
DERMABLEND SOS,VICHY
DERMAGE BB HAND,DERMAGE
DERMATIKA,DERMATIKA COSMETIC
DERMDRYL,TEUTO BRASILEIRO
DERMESAN,MULTILAB
DERMIDRON,SEDABEL
DERMODRYL,IFAL
DERMONASE,GLOBO
DERMOSTATIN,LEGRAND
DERMS,UNIAO QUIMICA F N
DERMUP,MAXINUTRI
DESENCANA,PALTERM
DESINCHA,DENATURE
DESINCHA,NATHUS
DESINCHAR,REI TERRA
DESLIN,ZYDUS BRASIL
DESUPRE,ARTE NATIVA PROD
DETAQUE,MEDQUIMICA
DETEM D3,BRASTERAPICA
DETOX GREEN,AMAO
DETOX GREEN DRINK,SUNFOOD
DETRUSITOL,VIATRIS
DEXA-BRAS,LABORATORIO SAUDE
DEXA-CRONOBE,BIOLAB-SANUS FARMA
DEXA-VASTRICTOL,ALLERGAN
DEXACOBAL,UNIAO QUIMICA F N
DEXAFENICOL,ALLERGAN
DEXAMINOR,ALLERGAN
DEXATOP DERMA,CIMED
DHA OL LINHA+BORRA,BEM FITOS
DHA SUPRE,NATURALIS
DIABEMED,MULTILAB
DIATRAX-T,MACROPHYTUS
DIATYL,P&G CC
DIAZEPAMIL,HIPOLABOR
DIBEDERM,TEUTO BRASILEIRO
DICL PRAMIPEXOL MG,GERMED PHARMA
DICL TRIMETAZID MG,PHARLAB
DICLAC,SANDOZ
DICLOF.RESINATO MG,ACHE
DICLOF.RESINATO MG,GERMED PHARMA
DICLOFEN.DIETIL.MG,UNIAO QUIMICA F N
DICLOFENACO SOD.MG,BLAU FARMACEUTICA
DICLOFENACO SOD.MG,HALEXISTAR
DICLOGENOM,UNIAO QUIMICA F N
DICLOR.CETIRIZI.MG,TEUTO BRASILEIRO
DIENPAX,SANOFI
DIETASAL,LIBBS
DIETIL,NUTRICIA
DIETYNIBE,NEWHEALTH
DIFEN,ALLERGAN
DIGIAZIA,CIMED
DIGLIC CLOREXIDINA,FBM FARMA
DIGOBAL,BALDACCI
DIGOXINA,ASPEN PHARMA
DIGOXINA MG,NEO QUIMICA
DILABRONCO,TEUTO BRASILEIRO
DILIMAO,SOBRAL
DIMEFOR,FQM GRUPO
DIMETICOLIN,HIPOLABOR
DIMILIP KIDS,GEYER
DINAFLEX,ADIUM
DIP SOD+ISO+CAF.MG,EMS PHARMA
DIP.BET+AC.SALI MG,PRATI DONADUZZI
DIPIRONA SODICA MG,ABBOTT
DIPIRONATI,NATIVITA IND COMER
DIPRO AS,CELLERA FARMA
DIPROZIL,CIMED
DISGREN,ACHE
DISOLV,ESKAG PHARMA
DIUREZIN,CAZI
DIURIT,CIMED
DIVALCON,ABBOTT EPD
DOCETAXEL MG,MEDLEY
DOK CLEAN,DOKMOS
DOLANTINA,SANOFI
DOLOMITA,APISNUTRI
DOLOMITA,AROMA BEM ESTAR
DOLOMITA,MACROPHYTUS
DOLOMITA,MAXINUTRI
DOLOMITA,SCHRAIBER
DOLOMITA,TIARAJU
DOLOMITA VD+CAL+MA,NUTRI VALLEY
DOLOMITA+CAL+MAGNE,FITOWAY
DOPAFEM,UNIAO VEGETAL
DORALICE MAKE UP,DORALICE MAKE UP
DORAMIL,FLORAL ERVAS DO BR
DORANGUITOS,BRASTERAPICA
DORAPLAX,HYPERA PHARMA
DORICAL,LEGRAND
DORICAL VIT,LEGRAND
DORIFLAN,NEO QUIMICA
DOSATAXEL,CHEMICALTECH
DOSE D MELT,ACHE
DOUBLE OMEGA 3,UNILIFE
DOUTOR ALCOOL,MORECARE
DOXAL,EMS PHARMA
DR FLAM,INOVARE NUTRITION
DR. LAIR,UPNUTRI
DR.NEWQI,UPNUTRI
DRENOL,PFIZER
DROGASIL CAB UN PE,RAIA DROGASIL
DROGASIL NUTRIKIDS,RAIA DROGASIL
DROGASIL OL LINHAC,RAIA DROGASIL
DROGASIL OL PRIMUL,RAIA DROGASIL
DROSPI+ETINILES MG,CIFARMA
DUALIMAX CORPO IDE,FITOWAY
DUO-DECADRON,ACHE
DUOFILM PLANTAR,STIEFEL
DUOM,GREEN NUTRITION
DUOS,REINIGEND QUIM BRA
DUPHACTIVE,ABBOTT EPD
DUPHAKIDS,ABBOTT EPD
DUPLIVIR,BLANVER
DURAGEL,DURAFIX
DUSANG,APISNUTRI
E 400,ONE PHARMA SUPPLEM
E 1000 UI,VITGOLD
EASY,TEUTO BRASILEIRO
EBASTEL D,EUROFARMA
ECOOLGEL,ECOLINK SOLUTIONS
ECTO POS,BIOBALANCE NATURAL
EFA 6,STEM PHARMACEUTICA
EFICAL,VITAMED
ELIMIN,MAKROFARMA
ELODIUS,BOEHRINGER ING
ELZARK,ELZARK COSMETICOS
EMAGREJA,ULTRAFARMA
EMAGRETOP,CIMED
EMANNA VITALITY,YORI SMART CARE
EMET,EUROFARMA
EMOFORM,UNIAO QUIMICA F N
EMOFORM AT,UNIAO QUIMICA F N
EMULVIT NUTRI ACT,IPAN NUTRITION
EMULVIT NUTRI BEAU,IPAN NUTRITION
EMYCLAM,VIATRIS
ENALPRIN,ROYTON
ENDOCARE TENSAGE,FQM GRUPO
ENDOCRIS,CRISTALIA
ENDONIDAZOL,FRESENIUS KABI
ENDURUSH EXCEL,CLONE PHARMA
ENDUXAN,ABBOTT
ENERGIL C EFERVESC,EMS PHARMA
ENERGY,GOLDEN VIT
ENFAMIL AR PREMIUM,RECKITT BENCKISER
ENFAMIL ENFACARE,RECKITT BENCKISER
ENFAMIL GENT PREMI,RECKITT BENCKISER
ENFAMIL HMF,RECKITT BENCKISER
ENFAMIL PRE PREMIU,RECKITT BENCKISER
ENFAMIL PREGESTIMI,RECKITT BENCKISER
ENFAMIL PREMIUM 2,RECKITT BENCKISER
ENFANUTRI,RECKITT BENCKISER
ENFLURAN,CRISTALIA
ENSURE PLUS AD RTH,ABBOTT
ENTOCORT,BIOLAB-SANUS FARMA
ENZIMAVIC DT3,VIC PHARMA
EPAPHYTO,NATULAB
EPAREX,HYPERA PHARMA
EPAZIL HP,LA SAN DAY PHARMA
EPHEDRA MA HUANG,FITOWAY
EPICOR,VITAFOR
EPIDRAT ULTRA,MANTECORP FARMASA
EPINEFRINA MG,HYPOFARMA
EPITEZAN,ALLERGAN
EQUABIO,CATARINENSE PHARMA
EQUALIV CARBOFIT,ALTHAIA S/A
EQUALIV FIBER,ALTHAIA S/A
EQUALIV FOLLATUS,ALTHAIA S/A
EQUALIV IMUNIDADE,ALTHAIA S/A
EQUALIV OL CARTAMO,ALTHAIA S/A
EQUALIV OLEO LINHA,ALTHAIA S/A
EQUALIV REINFO MAN,ALTHAIA S/A
EQUALIV T CELLFIRM,ALTHAIA S/A
EQUALIV TERMOLEN,ALTHAIA S/A
EQUALIV TRATEDE,ALTHAIA S/A
EQUILIBRIA,EQUILIBRIA
EQUINACEA,BIOFLORA
ERIFLOGIN,SINTERAPICO
ERVAS NATURAIS,ERVAS NATURAIS
ESOMEPRAZOL MAG MG,ALTHAIA S/A
ESOMEPRAZOL SOD MG,SUN PHARMA
ESPASMODID CPTO,UNIAO QUIMICA F N
ESPECTRIN,GSK
ESPINHEIRA SANTA,NATUS VERDE
ESPINHEIRA SANTA,NUTRI VALLEY
ESPIRONOLACTONA MG,FURP
ESPIRULINA,NUTRI VALLEY
ESPIRULINA,UPNUTRI
ESPUMIL,LIMA & PERGHER IND
ESSEN,MANTECORP FARMASA
ESSENCE HAIR+BIOTI,ESSENCE LIFE
ESSENDY,ESSENDY PROFESSION
ESSENTIAL PHOS 3+B,ESSENTIAL NUTRIT.
ESSENZA,ESSENZA COSMETICOS
ESTOMALINA,FARMAERVAS
ESTRINOLON,EMS PHARMA
ESTRIOPAX,NEO QUIMICA
ESTROGENON,SANVAL
ETOMIDATE,CRISTALIA
EU SOU,PARENTEX
EUCATEX PROTECT,ECOLIFE QUIMICA
EUCERIN AQUAPO.ACT,BEIERSDORF
EUCERIN DERMOPURIF,BEIERSDORF
EUCERIN DRY SKIN,BEIERSDORF
EUFOR 20,MANTECORP FARMASA
EUNOVA GUA+CAFEINA,MILLIPHARMA
EUPHORBIUM COMP SN,HEEL BRASIL B LTDA
EURODERM,EURODERM
EUTONIS,EUROFARMA
EUTROPIN,ASPEN PHARMA
EUTYMIA XL,BRACE PHARMA
EVITACNE,OCEAN DROP
EVOFLUBINA,FARMARIN I CO LTDA
EVUSHELD,ASTRAZENECA BRASIL
EXCALV,TEUTO BRASILEIRO
EXCEDRIN,HALEON
EXCIVIT AZ,GALLIA
EXCIVIT D,GALLIA
EXCIVIT FOCUS,GALLIA
EXELMIN,UCI FARMA
EXEMESTANO MG,ACCORD FARMACEUTIC
EXIT,MANTECORP FARMASA
EXLUTON,MERCK SHARP DOHME
EXT PROPOLIS VERDE,NUTRAWAY IND
EXT PROPOLIS VERDE,SHAMBALA NATURAIS
EXT PROPOLIS VERDE,VALE DO MEL
EXTRAT SEMENTE UVA,LINHO LEV ALI LTDA
EXTRATO D OLIVEIRA,SMART NUTRITION
EXTRATO HEPATICO,LABORSIL
EXTRATO PROPOLIS,BELEM JARDIM
EXTRATO PROPOLIS,CASA DO MEL
EXTRATO PROPOLIS,NEOBEM
FACLOR,NOVARTIS
FACYNNARE,FACYNNARE
FALMONOX,SANOFI
FAMIGESTA,FAMIVITA
FAMOSET,ABBOTT
FANXIEYE,NUTRENDS NUTRITION
FARMAECIA,FARMAECIA
FARNESE,SINTER FUTURA
FASEOL,UNILIFE
FASULIDE,BUNKER
FAT REDUX,UNILIFE
FATTORE,FATTORE
FEBRIDOR,GLOBO
FEBUPEN,EMS PHARMA
FEIJAO BRANCO,VITALAB
FEITO BRASIL,FEITO BRASIL COSM
FELDANAX,GEOLAB
FELISSA,SUN PHARMA
FEMINICAP,NECTAR PLUS
FEMME CARE,UNILIFE
FEMME VITAM,EKOBE DO BRASIL
FEMMEWAY,FITOWAY
FENITOINA SODIC.MG,UNIAO QUIMICA F N
FENTANIL,ABL ANTIBIOTICOS
FENTANIL,JANSSEN CILAG
FENTANILO BASI,CHEMICALTECH
FENTANYL,PFIZER
FENTINAX,MYRALIS
FENZZA,FENZZA
FERITRAT,IMEC
FERRINATO,STRAGEN
FERRINI FOLICO,MYRALIS
FERRO,ADA NUTRACEUTICOS
FERRO,NATHUREPRO
FERRO,NATURALGREEN
FERRO,NEOBEM
FERRO,VITAL NATUS
FERRO MAIS STAR,PHARMA STAR
FERRO STAR,PHARMA STAR
FERRO+AC FOL+VB12,PROPHARMACOS
FERRO+VITAMINA C,SCHRAIBER
FERROMIN,MERCOFARMA
FERSIL,HIPOLABOR
FERTIL TIME,BLUE CROSS
FEXODANE,UCI FARMA
FIBERCAPS WAY,MIDWAY LABS
FIBERFOS,FQM GRUPO
FIBRACTIVE,KRESS IND FARMOQ
FIGALISINA,ORANGE HEALTH
FIGUS,DELLARA
FILLERINA,LUPIN SKIN SCIENCE
FILOGARGAN,HEARST
FINASTERIDA MG,PRATI DONADUZZI
FINASTERIDA MG,VITAMEDIC
FINI BELT,UNILIFE
FIRMEZZA,BEDALM PHAR DO BRA
FISHER PRICE,DERMIWIL
FISIOGEL CLEANSER,MEGALABS
FISIOQUANTIC PLUS,FISIOQUANTIC
FIT,INBEAUTY
FITOESBELT,MACROPHYTUS
FITOESTEROIS,VITAMINLIFE
FITOLESS,DOVALLE
FITPRO,NUTRYERVAS
FIXA-FER,VITAMED
FIXA-MAG,VITAMED
FIXED,MZ3 COSMETICOS
FL+NEO+PO B+LID MG,LEGRAND
FLAMATRAT,VITAMEDIC
FLAMOSTAT,CIMED
FLAXIN,MERCK
FLER,BIOCLEAN
FLEXTOSS,TEUTO BRASILEIRO
FLOCK DENT,ASSIFARMA
FLOGAN,MERCK
FLOGENE,ACHE
FLOPI,FLOFARMA
FLOR DO CAMPO,EXTR FLOR DO CAMPO
FLOR NOITE COMPOST,BIOFLORA
FLORA FLORIDA,OCEAN DROP
FLORA PURA,FLORA PURA
FLORA-BIO,CIMED
FLORA-C,NOSSA FLORA
FLORAHEL,GALLIA
FLORAL MEDIC KIDS,MEDCENTER LABORATO
FLOREN LIFE,FLOREN LIFE
FLORES E VEGETAIS,FLORES VEGETAIS
FLORIGEN,FLORIGEN
FLOXOCIP,MERCK
FLUCOCIN,EMS PHARMA
FLUIPRO,GALLIA
FLUITOSS,TEUTO BRASILEIRO
FLUMAZENIL MG,EUROFARMA
FLUORDENT JUNIOR,KENVUE
FLUZAP,TAUENS
FOLCARE DS,FQM GRUPO
FOLHA MAGRA,BIOFLORA
FOLIFASE,ELOFAR
FOLINE,APSEN
FOLIPROTEC,KRESS IND FARMOQ
FOLONIN MET,GEOLAB
FONTE OMEGA 3,BIOKLEIN
FONTIMUNO,SOOLIS NUTRACEUTIC
FONTIVITA,SOOLIS NUTRACEUTIC
FONTOL 650,UNIAO QUIMICA F N
FORCE PROST,FORCE DO BRASIL
FORMET,ASPEN PHARMA
FORT GRIPAL,BALARAMA
FORT OSSO,IMEC
FORTAMINA FEMME,DUOM
FORTECAPS,MAXINUTRI
FORTERINE,CIMED
FORTICARE,DANONE MEDICAL NUT
FORVIX,VITAFOR
FOSFATO DE POTASIO,FARMACE
FOSFATO DE POTASIO,HALEXISTAR
FOSFOCAPS,EMS PHARMA
FOSFORO + POTASSIO,MACROPHYTUS
FRADEMICINA,PFIZER
FRANCIS,FLORA HIG LIM LTDA
FREE AFIT,FARMA CONDE
FREE FAT,PILL UP
FREESEPT,RAYMOUNDS
FREESINT TPM,WALDEMIRO PEREIRA
FREESTYLE FRE LITE,ABBOTT
FREESTYLE PREC PRO,ABBOTT
FRESHSUN BAGOSKIN,BAGO
FRESOFOL,FRESENIUS KABI
FRESUBIN LIPID,FRESENIUS KABI
FREX CLEAN T,ALLERGAN
FRUTOSE,FRESENIUS KABI
FTB VAPOREX,BIOMATIKA IND COME
FTW COLAG HIDROLIS,FITOWAY
FTW COLAGENO,FITOWAY
FTW LA CART OIL,FITOWAY
FTW MACA PERUANA,FITOWAY
FTW MULTI,FITOWAY
FTW OMEGA 3,FITOWAY
FTW VITAM E MINERA,FITOWAY
FTW VITAMINA C,FITOWAY
FULVESTRANTO MG,EUROFARMA
FULVESTRANTO MG,SANDOZ
FUM TENO DESOPR MG,BLANVER
FUMARATO CETOTI.MG,NEO QUIMICA
FUNCHIFORT,MULTINATURE
FUNCHIMED BABY,CIMED
FUNGITRIN,VITAMEDIC
FUROSAN,SANVAL
FUROSETRON,BLAU FARMACEUTICA
FURP-BENZIL BENZAT,FURP
FURP-DEXAMETASONA,FURP
FURP-HALOPERIDOL,FURP
FURP-SULFADIAZINA,FURP
FXBLOCK,EKOBE DO BRASIL
G-POWER,NATURAL FLORA
GABAPENTINA MG,FURP
GABAPENTINA MG,TEUTO BRASILEIRO
GALAFOLD,MULTICARE PHARMA
GAMAFEEL,FARMA CONDE
GAMMAR,ZYDUS BRASIL
GARAMICINA 160,MERCK SHARP DOHME
GARGOVIT C,LA SAN DAY PHARMA
GARRA EC,AS ERVAS CURAM
GASCOL,PHARLAB
GASCOL PLUS,PHARLAB
GASIMEC,IMEC
GASLEV,PHARLAB
GASTROPLANTAS,AS ERVAS CURAM
GELATINA,FITOWAY
GELATINA,UNILIFE
GELATINA NATURAL,SAO LUCAS
GELEIA REAL,FAUNA&FLORA
GELEIA REAL,UNILIFE
GELFOAM,PFIZER
GEMAPAXANE,BIOMM
GENACOL BEAUTY,GENACOL CANADA INC
GENFIBROZILA MG,FURP
GENGIBRE,PROMEL IND C P NAT
GENGIBRE&ZINCO,EKOBE DO BRASIL
GERMEN DE TRIGO,DUOM
GERMEN SOJA,MAXINUTRI
GEROMAX PRO HAIR,NATULAB
GEROMIL,BIOFHITUS
GESDHA,UNICA PHARMACEULTI
GEST VITAM,EKOBE DO BRASIL
GESTALE,MASSIME
GESTANCARE,GALLIA
GESTAVIT LACTANTE,KRESS IND FARMOQ
GIAMEBIL,ASPEN PHARMA
GIARLAM,UCI FARMA
GINCONAZOL,HEBRON/QUEZALON
GINEC,GLENMARK
GINEDISC,BAYER PHARMA
GINEPLUS,MELDICA
GINGER LIFE,GINGER LIFE
GINGILACER,GROSS
GINGILONE,MANTECORP FARMASA
GINGKO BILOBA L,DUOM
GINKGO BIL C INDIA,NATHUS
GINKGO BIL&CAST IN,FLORA NATIVA
GINKGO BILOBA,BEM FITOS
GINKGO BILOBA,HERBAMED
GINKGO BILOBA,MACROPHYTUS
GINKGO BILOBA,NATURALGREEN
GINKGO BILOBA,NATUS VERDE
GINKGO BILOBA,UNILIFE
GINKGO BILOBA L,NUTRI VALLEY
GINKGO BILOBA L,PREVENT PHARMA
GINKGO ES 20,VITALAB
GINKGO ES 80,VITALAB
GINO-CAUTEREX,ACHE
GINO-FIBRASE,PFIZER
GINSENG,BEM FITOS
GINSENG,FITOWAY
GINSENG,HERBAMED
GINSENG,NATURALGREEN
GINSENG,PREVENT PHARMA
GINSENG,UNIAO VEGETAL
GINSENG,UNILIFE
GINSENG ASTRAGALUS,VITAFOR
GINSENG LONGAN,VITAFOR
GINSENG RENSHEN,DOCTOR BERGER
GLI ALCOOL,RIOQUIMICA
GLICODOWN,SUPRAERVAS
GLICONATO CALCIO,FRESENIUS KABI
GLICONATO CALCIO,HIPOLABOR
GLIMEPIBAL,BALDACCI
GLIMEPIRIDA MG,LEGRAND
GLIMEPIRIDA MG,NOVA QUIMICA
GLIMEPIRIDA MG,PHARLAB
GLIMEPIRIDA MG,SANOFI
GLIMEPIRIDA MG,TEUTO BRASILEIRO
GLITISOL,ZAMBON
GLIZIGEN,UNICA
GLIZIRRIN,UNICA
GLOBUCEL VF,CHEMICALTECH
GLUCOBAY,BAYER PHARMA
GLUCONATO CALCIO,BLAU FARMACEUTICA
GLUTAFLORA,FQM GRUPO
GLUTAMIN FORCE,ADA NUTRACEUTICOS
GLUTAMINA,STEM PHARMACEUTICA
GLYCOLIC K,ADATINA
GOJI BERRY,AMAZON ERVAS
GOJI BERRY,DUOM
GOJI BERRY,FORHEALTH NUTRITIO
GOJI BERRY,SMART NUTRITION
GOJI BERRY,TIARAJU
GOLD CLEAN,LARMED
GOLDEN VIT,NORTIS FARMACEUTIC
GOLDENVITA,ARNOLD
GOMA ACACIA+INULIN,TIARAJU
GONOL,NEO QUIMICA
GOODLIFE,CATARINENSE PHARMA
GRAMACYN,USK DERMATOLOGY
GRANDAX,UNIAO QUIMICA F N
GRAV TEST,CIMED
GRAVIOLA,BIOFLORA
GRAVIOLA,CHAMAIS
GRAVIOLA,LA SAN DAY PHARMA
GRAVIOLA,REI TERRA
GRAVIOLA COM VIT C,BEM FITOS
GRAVIPUR,STRAGEN
GREEN TEA,MAXINUTRI
GREENLEAF DETOX,MAXINUTRI
GRETIVIT,BELFAR
GRIFFUS,GRIFFUS
GRIPP-HEEL INJ,HEEL BRASIL B LTDA
GROW HAIR ULTRA,ULTRAFARMA
GUARAN+GENGI+PIMEN,VITAL NATUS
GUARANA,BIOKLEIN
GUARANA,CHAMED
GUARANA,FITO NATURAIS
GUARANA,HERBARIUM
GUARANA,NEOBEM
GUARANA,PROMEL IND C P NAT
GUARANA CAPS,VITAMINLIFE
GUARANA COM ACAI,APISNUTRI
GUARANA COM ACAI,MOSTEIRO DEVAKAN
GUARANA ENERGY,NATHUS
GUARANA+ACAI,STEM PHARMACEUTICA
GURGOL,HYPERA PHARMA
GYNO-FUNGIX,JANSSEN CILAG
H-PRO VITAL HOMEM,SUPRAERVAS
H2O COSMETICOS,H2O COSMETICOS
HAGIVAN,BIOLAB-SANUS FARMA
HAIR GUMMIE VITAMI,RUBY ROSE
HAIR NUTRA,NUTRAWAY IND
HAIR SKIN & NAILS,PILL UP
HAIR SKIN NAILS,SPORTS NUTRITION
HAIR VOLUME,DUX NUTRITION LAB
HAIRSKIN NAILS FEM,NUTRI VALLEY
HALITHERAPY,MEGALABS
HALOPERIDOL MG,HYPOFARMA
HALOPERIDOL MG,TEUTO BRASILEIRO
HALOTHANO,CRISTALIA
HAMAMELIS EC,AS ERVAS CURAM
HAND CLEAN,BEAUTY&HEALTH
HANDMAX,NUTRIPHITOS COSMET
HANDS CLEAN,BIONAT COSMETICOS
HANOVA,HANOVA COSMETICOS
HARVONI,GILEAD
HE RIVASTIGMINA MG,BERGAMO
HE RIVASTIGMINA MG,NOVA QUIMICA
HEFESTUS NITRO FIR,HF SUPLEMENTS
HELLO BONITA,AMAO
HEM ZOLPIDEM MG,MERCK
HEM.QUETIAPINA MG,AUROBINDO PHARMA
HEM.QUETIAPINA MG,MERCK
HEMATIASE B12,GROSS
HEMOBLOCK,USK DERMATOLOGY
HEPALIN,BERGAMO
HEPARIN,CRISTALIA
HEPATECT,BIOTEST AG
HEPATOZAN,AUSTEN
HEPAXANE,BIOMM
HEPOMEC,IMEC
HI-BCAA 2 1 1,LEADER NUTRITION
HIALURONIC,NUTRASIX
HIALUROX ULTR FILL,LABORATO TERMOFRIO
HIALUROX ULTR FINE,LABORATO TERMOFRIO
HIALUROX ULTR LIFT,LABORATO TERMOFRIO
HIBISCI M FOLIUM,MAXINUTRI
HIBISCO,ATIVIVA
HIBISCO,BEM FITOS
HIBISCO,FITO NATURAIS
HIBISCO,REI TERRA
HIBISCUS,SMART NUTRITION
HICONCIL,BRISTOL M. SQUIBB
HID.ALUMIN+MAG MG,PHARLAB
HIDR+TRE+AC FLU MG,LEGRAND
HIDRACARE,DERMAGE
HIDRAFIX 90,TAKEDA PHARMA
HIDRAN,HIDRAN COSMETICOS
HIDROFLUX,MEDQUIMICA
HIDROTHEO,SOBRAL
HIDROTHEO COMPOSTO,SOBRAL
HIDROXIMED,MEDQUIMICA
HIGIDAY,BENNE FARMACEUTICA
HIGIOGEL,ALVA COSMETICOS
HIGIPRIME,RENTAL Y IND BRASI
HIGISEPS,HEARST
HILL COSMETICOS,HILL COSMETICOS
HIPODERTRAT,TEUTO BRASILEIRO
HIPOGLOS,KENVUE
HIXELIVIUM,MEDQUIMICA
HM ALCOOL,HM IND PROD BELEZA
HMB PURE,ONE PHARMA SUPPLEM
HONEY WORLD,SOROCAPS
HORUS,MAX TITANIUM
HOTCAPS,SYNTHESIZE NUTRITI
HUMAN NORMAL IMMUN,CHEMICALTECH
HUMULIN L,LILLY
HYALURONIC C,SANAVITA
HYCAMTIN,SANDOZ
HYDRA BOOSTER,LEGRAND
HYDRAPHASE YEUX,LA ROCHE POSAY
HYDREA,BRISTOL M. SQUIBB
HYDREN,HYPOFARMA
HYDROCARE,AMO BRASIL
HYDRYALIX,ALLERGAN
HYNIB TABS,TEUTO BRASILEIRO
HYPERIUM,SERVIER DO BRASIL
HYPOZAM,HYPOFARMA
HYTRIN,ABBOTT
HYTROPIN,HYPOFARMA
HYVIT,HYPOFARMA
IBUPROFAN,BUNKER
IBUPROFENO MG,EMS PHARMA
IDA,CHEMICALTECH
IDEAL,IDEAL COSMETICOS
IDEALIA OLHOS,VICHY
IKEBANA,IKEBANA COSMETICOS
ILOSONE,CELLERA FARMA
IMECAP CELLUT,FQM GRUPO
IMEOXY E,KRESS IND FARMOQ
IMICIL,UNIAO QUIMICA F N
IMIPENEM+CILAST.MG,BIOCHIMICO
IMIPENEM+CILAST.MG,FRESENIUS KABI
IMIPENEM+CILAST.MG,MIDFARMA
IMMOBEE,UNILIFE
IMMUNE SHOT,SANAVITA
IMMUNITY,PILL UP
IMMUNOLIX,UNIFLORA API ASSOC
IMPALA,MUNDIAL
IMUNE 19,NUTRASIX
IMUNE COMPLET,TIARAJU
IMUNE FORCE,ADA NUTRACEUTICOS
IMUNE PLUS,AVIN
IMUNEHAIR,FLORESTAL
IMUNI FORCE,ADA NUTRACEUTICOS
IMUNI-Z,SUPLENATUS HEALTH
IMUNI+VIT,FLORA NATIVA
IMUNISIX,FLORA NATIVA
IMUNIZE,UNILIFE
IMUNO BCG,ATAULFO PAIVA
IMUNO C,GALLIA
IMUNO FORCE,FORCE DO BRASIL
IMUNO MAX,NUTRALINE
IMUNO POLEN,CHAMAIS
IMUNO RAPI TRILINE,WAMA DIAGNOSTICA
IMUNOALHO,STEM PHARMACEUTICA
IMUNODEZ,AIRELA IND FARM
IMUNOMAIS C,NUTRILIBRIUM
IMUNOVID,VIDEIRA 7
IMUNOVITON,LUCIOMED FARMACEUT
IMUNOZINCO,NUNESFARMA
IMUNY HELP,SANIBRAS BIONUTRIE
IMUNYONE,IMUNYONE
IMUPROVIT D,VIDORA
INCALM,INDIOLAN
INCONTINOL,MRPHARMA
INEOUT COLLAGE AGE,DERMAGE
INEOUT RESVINO,DERMAGE
INGRID,EMS PHARMA
INHAME,BEM FITOS
INHAME,KAMPO DE ERVAS IND
INIBI NATUS,VITAL NATUS
INNEOV DUOCAP,INNEOV
INNEOV NUTRI CAR D,INNEOV
INNEOV NUTRI CARE,INNEOV
INNOVATA,SANTHER
INOVAFLEX,DAIICHI SANKYO
INOVE,INOVE NUTRITION
INOVE CALCIO,EUROFARMA
INOVITTA,MEDNUTRITION
INSONOX,TEUTO BRASILEIRO
INSUNORM 70-30,ASPEN PHARMA
INTENSE HYDRATATIO,DUX NUTRITION LAB
INTERFERON,ACHE
INTESTILIVRE,WALDEMIRO PEREIRA
